date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:09:07	4793/4793	---M--	200	added ('OK')	application/javascript	date:Sat,%2018%20Aug%202018%2020:55:13%20GMT	https://eventify.ng/assets/js/shapes.js	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/js/shapes.js	(from https://eventify.ng/)
12:09:08	631798/631798	---M--	200	added ('OK')	image/jpeg	date:Sun,%2030%20Sep%202018%2017:12:35%20GMT	https://app.eventify.ng/assets/img/vendor_pfpic/3b1287c4f893012acf45c3ff9a9d12ce.jpg	C:/Users/PASS.NG/Desktop/eventify/app.eventify.ng/assets/img/vendor_pfpic/3b1287c4f893012acf45c3ff9a9d12ce.jpg	(from https://eventify.ng/)
12:09:08	58701/58701	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4863-e54d%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap-datepicker/1.6.4/js/bootstrap-datepicker.js	C:/Users/PASS.NG/Desktop/eventify/cdnjs.cloudflare.com/ajax/libs/bootstrap-datepicker/1.6.4/js/bootstrap-datepicker.js	(from https://eventify.ng/)
12:09:09	2058830/2058830	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Aug%202018%2021:39:55%20GMT	https://eventify.ng/assets/images/image1.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/images/image1.png	(from https://eventify.ng/)
12:09:10	84280/84280	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd497c-14938%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.1/jquery.min.js	C:/Users/PASS.NG/Desktop/eventify/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://eventify.ng/)
12:09:10	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2018%20Aug%202018%2020:54:18%20GMT	https://eventify.ng/assets/fonts/ElegantIcons.eot	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/fonts/ElegantIcons.eot	(from https://eventify.ng/assets/css/elegant-icons.css)
12:09:12	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2018%20Aug%202018%2020:54:21%20GMT	https://eventify.ng/assets/fonts/ElegantIconsd41d.eot?	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/fonts/ElegantIconsd41dd41d.eot	(from https://eventify.ng/assets/css/elegant-icons.css)
12:09:15	63664/63664	---M--	200	added ('OK')	font/woff	date:Sat,%2018%20Aug%202018%2020:54:20%20GMT	https://eventify.ng/assets/fonts/ElegantIcons.woff	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/fonts/ElegantIcons.woff	(from https://eventify.ng/assets/css/elegant-icons.css)
12:09:15	246/246	---M--	200	added ('OK')	text/html	date:Mon,%2024%20Sep%202018%2009:58:35%20GMT	https://eventify.ng/assets/css/owl.video.play.html	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/css/owl.video.play.html	(from https://eventify.ng/assets/css/owl.carousel.min.css)
12:09:16	59388/59388	---M--	200	added ('OK')	font/ttf	date:Sat,%2018%20Aug%202018%2020:54:19%20GMT	https://eventify.ng/assets/fonts/ElegantIcons.ttf	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/fonts/ElegantIcons.ttf	(from https://eventify.ng/assets/css/elegant-icons.css)
12:09:18	1546/1546	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Aug%202018%2009:58:04%20GMT	https://eventify.ng/dashboard/assets/img/pf_def/def_cover.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/dashboard/assets/img/pf_def/def_cover.png	(from https://eventify.ng/assets/css/style.css)
12:09:18	2077/2077	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Aug%202018%2021:39:36%20GMT	https://eventify.ng/assets/images/chat.svg	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/images/chat.svg	(from https://eventify.ng/about)
12:09:19	9673/9673	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Aug%202018%2021:39:34%20GMT	https://eventify.ng/assets/images/brain.svg	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/images/brain.svg	(from https://eventify.ng/about)
12:09:21	1594/1594	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Aug%202018%2021:39:48%20GMT	https://eventify.ng/assets/images/like.svg	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/images/like.svg	(from https://eventify.ng/about)
12:09:21	2330/2330	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Aug%202018%2021:39:56%20GMT	https://eventify.ng/assets/images/magic-wand.svg	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/images/magic-wand.svg	(from https://eventify.ng/about)
12:09:22	4730/4730	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Aug%202018%2021:39:37%20GMT	https://eventify.ng/assets/images/group.svg	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/images/group.svg	(from https://eventify.ng/about)
12:09:22	2426/2426	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Aug%202018%2021:39:56%20GMT	https://eventify.ng/assets/images/megaphone.svg	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/images/megaphone.svg	(from https://eventify.ng/about)
12:09:24	277297/277297	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Aug%202018%2020:54:19%20GMT	https://eventify.ng/assets/fonts/ElegantIcons.svg	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/fonts/ElegantIcons.svg	(from https://eventify.ng/assets/css/elegant-icons.css)
12:09:24	16279/16279	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:09:25%20GMT	https://eventify.ng/blog/something-happened	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/blog/something-happened.html	(from https://eventify.ng/blog)
12:09:25	12602/12602	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Aug%202018%2021:40:15%20GMT	https://eventify.ng/assets/images/category/cake.jpg	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/images/category/cake-2.jpg	(from https://eventify.ng/Unique123)
12:09:26	374428/374428	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Aug%202018%2021:39:35%20GMT	https://eventify.ng/assets/images/blog-bg.jpg	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/images/blog-bg.jpg	(from https://eventify.ng/assets/css/style.css)
12:09:28	34190/34190	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:09:29%20GMT	https://eventify.ng/vendor/index/8	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/8.html	(from https://eventify.ng/vendor)
12:09:30	287291/287291	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Aug%202018%2021:39:59%20GMT	https://eventify.ng/assets/images/portfolio-img.jpg	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/images/portfolio-img.jpg	(from https://eventify.ng/assets/css/style.css)
12:09:31	1131/1131	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Jul%202019%2011:09:33%20GMT	https://eventify.ng/blog/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/blog/assets/images/logo.png	(from https://eventify.ng/blog/something-happened)
12:09:34	26637/26637	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:09:32%20GMT	https://eventify.ng/vendor/index/16	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/16.html	(from https://eventify.ng/vendor)
12:09:38	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:09:35%20GMT	https://eventify.ng/vendor/index/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/logo.html	(from https://eventify.ng/vendor/index/8)
12:09:39	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:09:41%20GMT	https://eventify.ng/vendor/index/	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/index.html	(from https://eventify.ng/vendor/index/8)
12:09:42	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:09:43%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/logo.html	(from https://eventify.ng/vendor/index/assets/images/logo.png)
12:10:02	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:09:52%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/logo.png	(from https://eventify.ng/vendor/index/assets/images/assets/images/logo.png)
12:10:09	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:10:07%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/logo.html	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/logo.png)
12:10:32	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:10:34%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/logo.png)
12:10:34	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:10:35%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.html	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
